commit	experiment_id	model	validation_avg_rmse	validation_avg_r2	test_avg_rmse	test_avg_r2	runtime_minutes	status	description
	lightgbm_v3_0001	lightgbm	0.138910	-0.083015			0.01	discard	trial 18: rel_improvement=-0.1223 < threshold
	lightgbm_v3_0001	lightgbm	0.137973	-0.076013			0.01	discard	trial 19: rel_improvement=-0.1147 < threshold
	lightgbm_v3_0001	lightgbm	0.138671	-0.079450			0.01	discard	trial 20: rel_improvement=-0.1203 < threshold
	lightgbm_v3_0001	lightgbm	0.138613	-0.079747			0.01	discard	trial 21: rel_improvement=-0.1199 < threshold
	lightgbm_v3_0001	lightgbm	0.138474	-0.057993			0.01	discard	trial 22: rel_improvement=-0.1187 < threshold
	lightgbm_v3_0001	lightgbm	0.139856	-0.085120			0.01	discard	trial 23: rel_improvement=-0.1299 < threshold
	lightgbm_v3_0001	lightgbm	0.137996	-0.077423			0.00	discard	trial 24: rel_improvement=-0.1149 < threshold
	lightgbm_v3_0001	lightgbm	0.138988	-0.077100			0.01	discard	trial 25: rel_improvement=-0.1229 < threshold
	lightgbm_v3_0001	lightgbm	0.140797	-0.068244			0.02	discard	trial 26: rel_improvement=-0.1375 < threshold
	lightgbm_v3_0001	lightgbm	0.138359	-0.065742			0.01	discard	trial 27: rel_improvement=-0.1178 < threshold
	lightgbm_v3_0001	lightgbm	0.139076	-0.082586			0.01	discard	trial 28: rel_improvement=-0.1236 < threshold
	lightgbm_v3_0001	lightgbm	0.139029	-0.079501			0.01	discard	trial 29: rel_improvement=-0.1232 < threshold
	lightgbm_v3_0001	lightgbm	0.140007	-0.065140			0.01	discard	trial 30: rel_improvement=-0.1311 < threshold
