WriteTemp,ReadTemp,DateTime
69.7,25.0,2026-04-09 18:18:39.895030
70.3,25.0,2026-04-09 18:18:41.895410
71.0,25.0,2026-04-09 18:18:43.895936
71.7,25.0,2026-04-09 18:18:45.896370
72.3,25.0,2026-04-09 18:18:47.896955
73.0,25.0,2026-04-09 18:18:49.897514
73.7,25.0,2026-04-09 18:18:51.897977
74.3,25.0,2026-04-09 18:18:53.898620
75.0,25.0,2026-04-09 18:18:55.890152
75.7,25.0,2026-04-09 18:18:57.891011
76.3,25.0,2026-04-09 18:18:59.891846
77.0,25.0,2026-04-09 18:19:01.892815
77.7,25.0,2026-04-09 18:19:03.893843
78.3,25.0,2026-04-09 18:19:05.894797
79.0,25.0,2026-04-09 18:19:07.895920
79.7,25.0,2026-04-09 18:19:09.897081
80.3,25.0,2026-04-09 18:19:11.898046
81.0,25.0,2026-04-09 18:19:13.899084
81.7,25.0,2026-04-09 18:19:15.899652
82.3,25.0,2026-04-09 18:19:17.900452
83.0,25.0,2026-04-09 18:19:19.901395
83.7,25.0,2026-04-09 18:19:21.902348
84.3,25.0,2026-04-09 18:19:23.903240
85.0,25.0,2026-04-09 18:19:25.894642
85.7,25.0,2026-04-09 18:19:27.895313
86.3,25.0,2026-04-09 18:19:29.896040
87.0,25.0,2026-04-09 18:19:31.896961
87.7,25.0,2026-04-09 18:19:33.897841
88.3,25.0,2026-04-09 18:19:35.898959
89.0,25.0,2026-04-09 18:19:37.900379
89.7,25.0,2026-04-09 18:19:39.901630
90.3,25.0,2026-04-09 18:19:41.902780
91.0,25.0,2026-04-09 18:19:43.903798
91.7,25.0,2026-04-09 18:19:45.904331
92.3,25.0,2026-04-09 18:19:47.904738
93.0,25.0,2026-04-09 18:19:49.905753
93.7,25.0,2026-04-09 18:19:51.906470
94.3,25.0,2026-04-09 18:19:53.907550
95.0,25.0,2026-04-09 18:19:55.899775
95.7,25.0,2026-04-09 18:19:57.900725
96.3,25.0,2026-04-09 18:19:59.901298
97.0,25.0,2026-04-09 18:20:01.902123
97.7,25.0,2026-04-09 18:20:03.902842
98.3,25.0,2026-04-09 18:20:05.903485
99.0,25.0,2026-04-09 18:20:07.904209
99.7,25.0,2026-04-09 18:20:09.904834
100.3,25.0,2026-04-09 18:20:11.905338
101.0,25.0,2026-04-09 18:20:13.905884
101.7,25.0,2026-04-09 18:20:15.906382
102.3,25.0,2026-04-09 18:20:17.906899
103.0,25.0,2026-04-09 18:20:19.907393
103.7,25.0,2026-04-09 18:20:21.907903
104.3,25.0,2026-04-09 18:20:23.908510
105.0,25.0,2026-04-09 18:20:25.900493
105.7,25.0,2026-04-09 18:20:27.900904
106.3,25.0,2026-04-09 18:20:29.901427
107.0,25.0,2026-04-09 18:20:31.901857
107.7,25.0,2026-04-09 18:20:33.902409
108.3,25.0,2026-04-09 18:20:35.903113
109.0,25.0,2026-04-09 18:20:37.903407
109.7,25.0,2026-04-09 18:20:39.903933
110.3,25.0,2026-04-09 18:20:41.904822
111.0,25.0,2026-04-09 18:20:43.905275
111.7,25.0,2026-04-09 18:20:45.905993
112.3,25.0,2026-04-09 18:20:47.906323
113.0,25.0,2026-04-09 18:20:49.907176
113.7,25.0,2026-04-09 18:20:51.907784
114.3,25.0,2026-04-09 18:20:53.908571
115.0,25.0,2026-04-09 18:20:55.900309
115.7,25.0,2026-04-09 18:20:57.900681
116.3,25.0,2026-04-09 18:20:59.901565
117.0,25.0,2026-04-09 18:21:01.902498
117.7,25.0,2026-04-09 18:21:03.903375
118.3,25.0,2026-04-09 18:21:05.904263
119.0,25.0,2026-04-09 18:21:07.904631
119.7,25.0,2026-04-09 18:21:09.905350
120.3,25.0,2026-04-09 18:21:11.906384
121.0,25.0,2026-04-09 18:21:13.907137
121.7,25.0,2026-04-09 18:21:15.907714
122.3,25.0,2026-04-09 18:21:17.908247
123.0,25.0,2026-04-09 18:21:19.908847
123.7,25.0,2026-04-09 18:21:21.909603
124.3,25.0,2026-04-09 18:21:23.910399
125.0,25.0,2026-04-09 18:21:25.900855
125.7,25.0,2026-04-09 18:21:27.901074
126.3,25.0,2026-04-09 18:21:29.901816
127.0,25.0,2026-04-09 18:21:31.902436
127.7,25.0,2026-04-09 18:21:33.903022
128.3,25.0,2026-04-09 18:21:35.903539
129.0,25.0,2026-04-09 18:21:37.903920
129.7,25.0,2026-04-09 18:21:39.904369
130.3,25.0,2026-04-09 18:21:41.904932
131.0,25.0,2026-04-09 18:21:43.905529
131.7,25.0,2026-04-09 18:21:45.906026
132.3,25.0,2026-04-09 18:21:47.906346
133.0,25.0,2026-04-09 18:21:49.906932
133.7,25.0,2026-04-09 18:21:51.907768
134.3,25.0,2026-04-09 18:21:53.908676
135.0,25.0,2026-04-09 18:21:55.902647
135.7,25.0,2026-04-09 18:21:57.903491
136.3,25.0,2026-04-09 18:21:59.903754
137.0,25.0,2026-04-09 18:22:01.904214
137.7,25.0,2026-04-09 18:22:03.904661
138.3,25.0,2026-04-09 18:22:05.905417
139.0,25.0,2026-04-09 18:22:07.906008
139.7,25.0,2026-04-09 18:22:09.906593
140.3,25.0,2026-04-09 18:22:11.907218
141.0,25.0,2026-04-09 18:22:13.907826
141.7,25.0,2026-04-09 18:22:15.908173
142.3,25.0,2026-04-09 18:22:17.909127
143.0,25.0,2026-04-09 18:22:19.909763
143.7,25.0,2026-04-09 18:22:21.910190
144.3,25.0,2026-04-09 18:22:23.910598
145.0,25.0,2026-04-09 18:22:25.900090
145.7,25.0,2026-04-09 18:22:27.900818
146.3,25.0,2026-04-09 18:22:29.901693
147.0,25.0,2026-04-09 18:22:31.902699
147.7,25.0,2026-04-09 18:22:33.903243
148.3,25.0,2026-04-09 18:22:35.904057
149.0,25.0,2026-04-09 18:22:37.904560
149.7,25.0,2026-04-09 18:22:39.905395
150.3,25.0,2026-04-09 18:22:41.906270
151.0,25.0,2026-04-09 18:22:43.907413
151.7,25.0,2026-04-09 18:22:45.908574
152.3,25.0,2026-04-09 18:22:47.908970
